Case #,Date,IUCR,Description,Location Description,Beat,Ward,Latitude,Longitude
HT484592,9/6/2011 21:10,1811,CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,2411,50,42.01227516,-87.69543113
HT484570,9/6/2011 20:58,1811,CANNABIS 30GMS OR LESS,STREET,2531,29,41.91126438,-87.77514343
HT484566,9/6/2011 20:53,1811,CANNABIS 30GMS OR LESS,SIDEWALK,422,7,41.75163367,-87.56516729
HT484571,9/6/2011 20:50,2170,POSSESSION OF DRUG EQUIPMENT,STREET,2412,50,42.00271346,-87.69230373
HT484568,9/6/2011 20:40,2170,POSSESSION OF DRUG EQUIPMENT,SIDEWALK,124,42,41.88802812,-87.62031286
HT484544,9/6/2011 20:38,2027,CRACK,SIDEWALK,334,7,41.7616799,-87.56220319
HT484535,9/6/2011 20:20,1811,CANNABIS 30GMS OR LESS,STREET,1421,1,41.91047192,-87.694697
HT484581,9/6/2011 20:20,2024,HEROIN(WHITE),ALLEY,1113,28,41.87818124,-87.74252307
HT484492,9/6/2011 20:16,1811,CANNABIS 30GMS OR LESS,SIDEWALK,332,5,41.77133913,-87.58366117
HT484536,9/6/2011 20:15,2027,CRACK,ALLEY,1132,24,41.87106938,-87.73009418
HT484610,9/6/2011 20:06,1821,MANU/DEL:CANNABIS 10GM OR LESS,STREET,1011,24,41.86414013,-87.72282063
HT484534,9/6/2011 20:00,1811,CANNABIS 30GMS OR LESS,STREET,1422,26,41.90470782,-87.71249012
HT484486,9/6/2011 19:56,1811,CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),2312,46,41.9655348,-87.65500577
HT484476,9/6/2011 19:55,1811,CANNABIS 30GMS OR LESS,SIDEWALK,612,21,41.75020834,-87.66086522
HT484516,9/6/2011 19:50,2014,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,1121,27,41.89506185,-87.7124954
HT484462,9/6/2011 19:32,2024,HEROIN(WHITE),GAS STATION,1533,24,41.87304922,-87.74514419
HT484469,9/6/2011 19:20,1811,CANNABIS 30GMS OR LESS,STREET,524,34,41.67879765,-87.64545119
HT484463,9/6/2011 19:13,2024,HEROIN(WHITE),STREET,2213,19,41.72066051,-87.67463856
HT484405,9/6/2011 18:57,2027,CRACK,VACANT LOT/LAND,312,20,41.78014392,-87.61475581
HT484359,9/6/2011 18:46,1811,CANNABIS 30GMS OR LESS,RESIDENCE,1013,22,41.84971364,-87.7343029
HT484409,9/6/2011 18:46,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1532,28,41.88443076,-87.75509469
HT484342,9/6/2011 18:30,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1211,2,41.87979392,-87.68293612
HT484377,9/6/2011 18:30,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1634,30,41.93882563,-87.75536804
HT484333,9/6/2011 18:18,1811,CANNABIS 30GMS OR LESS,STREET,611,21,41.74774299,-87.66351842
HT484418,9/6/2011 18:15,1811,CANNABIS 30GMS OR LESS,SIDEWALK,523,34,41.67224766,-87.63465732
HT484337,9/6/2011 18:10,2024,HEROIN(WHITE),SIDEWALK,611,17,41.75059225,-87.66693729
HT484259,9/6/2011 17:30,2024,HEROIN(WHITE),STREET,621,17,41.75082034,-87.64419539
HT484190,9/6/2011 16:57,1811,CANNABIS 30GMS OR LESS,PARK PROPERTY,2324,46,41.95261971,-87.65069447
HT484198,9/6/2011 16:55,2024,HEROIN(WHITE),SIDEWALK,1113,28,41.8854683,-87.73689225
HT484169,9/6/2011 16:38,2093,FOUND SUSPECT NARCOTICS,ABANDONED BUILDING,1121,27,41.89193098,-87.71356879
HT484112,9/6/2011 16:30,2027,CRACK,SIDEWALK,722,20,41.77448223,-87.63700231
HT484175,9/6/2011 16:25,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1115,28,41.8807721,-87.73095769
HT484107,9/6/2011 16:19,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2535,26,41.91007327,-87.71921264
HT484141,9/6/2011 16:16,1811,CANNABIS 30GMS OR LESS,RESIDENCE,433,10,41.65091209,-87.54578306
HT484082,9/6/2011 16:15,1811,CANNABIS 30GMS OR LESS,ALLEY,2111,25,41.85223748,-87.63637984
HT484173,9/6/2011 16:10,2017,MANU/DELIVER:CRACK,ALLEY,421,7,41.7536764,-87.56449059
HT484046,9/6/2011 16:03,2027,CRACK,SIDEWALK,734,17,41.76691191,-87.65882134
HT484049,9/6/2011 15:45,2024,HEROIN(WHITE),SIDEWALK,1121,27,41.89504923,-87.71371494
HT484035,9/6/2011 15:40,2024,HEROIN(WHITE),ALLEY,2535,27,41.90282977,-87.72047959
HT484242,9/6/2011 15:40,2027,CRACK,SIDEWALK,1522,28,41.88221496,-87.75868407
HT483973,9/6/2011 15:27,1811,CANNABIS 30GMS OR LESS,STREET,1211,2,41.87869465,-87.68605746
HT483982,9/6/2011 15:15,1821,MANU/DEL:CANNABIS 10GM OR LESS,VEHICLE NON-COMMERCIAL,1124,28,41.87823821,-87.70919558
HT483945,9/6/2011 14:50,2024,HEROIN(WHITE),STREET,1422,26,41.90288168,-87.71429676
HT483970,9/6/2011 14:45,1811,CANNABIS 30GMS OR LESS,STREET,1211,2,41.8785159,-87.68404701
HT483981,9/6/2011 14:44,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1122,27,41.88960399,-87.72333112
HT483909,9/6/2011 14:40,2014,MANU/DELIVER: HEROIN (WHITE),ALLEY,224,3,41.80895514,-87.61943709
HT483881,9/6/2011 14:30,1811,CANNABIS 30GMS OR LESS,SIDEWALK,421,7,41.75810107,-87.56257223
HT483894,9/6/2011 14:25,2027,CRACK,SIDEWALK,323,6,41.76007427,-87.61377756
HT483887,9/6/2011 14:15,1811,CANNABIS 30GMS OR LESS,SIDEWALK,612,17,41.75419737,-87.66206965
HT483891,9/6/2011 14:05,2024,HEROIN(WHITE),STREET,334,7,41.76000263,-87.56131063
HT483952,9/6/2011 14:05,2014,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,1511,29,41.89683561,-87.76682841
HT483877,9/6/2011 14:00,1811,CANNABIS 30GMS OR LESS,ALLEY,824,16,41.78875336,-87.68497191
HT483832,9/6/2011 13:55,1811,CANNABIS 30GMS OR LESS,RESIDENCE PORCH/HALLWAY,713,16,41.78467889,-87.65842616
HT483843,9/6/2011 13:45,1811,CANNABIS 30GMS OR LESS,SIDEWALK,324,5,41.75935917,-87.59067285
HT483873,9/6/2011 13:45,1811,CANNABIS 30GMS OR LESS,SIDEWALK,321,20,41.77295586,-87.60591308
HT483809,9/6/2011 13:35,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1522,29,41.8783541,-87.7554616
HT484258,9/6/2011 13:15,1811,CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",414,8,41.75876115,-87.57641129
HT483833,9/6/2011 13:00,1811,CANNABIS 30GMS OR LESS,STREET,1513,29,41.88173468,-87.77199272
HT483155,9/6/2011 12:35,2012,MANU/DELIVER:COCAINE,STREET,822,23,41.79316943,-87.71799389
HT483650,9/6/2011 12:21,1811,CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",1913,47,41.94661562,-87.69116776
HT483658,9/6/2011 12:10,1811,CANNABIS 30GMS OR LESS,ABANDONED BUILDING,1532,28,41.88951474,-87.75432901
HT483641,9/6/2011 11:57,2024,HEROIN(WHITE),RESIDENTIAL YARD (FRONT/BACK),1523,28,41.88969913,-87.75770985
HT483609,9/6/2011 11:30,2092,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,1331,2,41.88118747,-87.69605728
HT483580,9/6/2011 11:20,2092,SOLICIT NARCOTICS ON PUBLICWAY,ALLEY,825,15,41.77760434,-87.68466994
HT483608,9/6/2011 11:15,2024,HEROIN(WHITE),SIDEWALK,1331,28,41.88201512,-87.70481828
HT483691,9/6/2011 11:14,1811,CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,624,6,41.75481841,-87.60541792
HT483523,9/6/2011 11:00,2024,HEROIN(WHITE),SIDEWALK,2533,37,41.90328938,-87.7534956
HT483515,9/6/2011 10:49,1811,CANNABIS 30GMS OR LESS,STREET,611,17,41.7537763,-87.66610541
HT483516,9/6/2011 10:30,1811,CANNABIS 30GMS OR LESS,SIDEWALK,823,15,41.77888075,-87.69353322
HT483496,9/6/2011 10:28,2027,CRACK,SIDEWALK,2422,49,42.01625938,-87.6682961
HT483521,9/6/2011 10:20,2024,HEROIN(WHITE),RESIDENTIAL YARD (FRONT/BACK),1532,28,41.88350361,-87.74920902
HT483347,9/6/2011 9:14,1811,CANNABIS 30GMS OR LESS,SIDEWALK,722,20,41.77772335,-87.63611668
HT483464,9/6/2011 8:00,2093,FOUND SUSPECT NARCOTICS,"SCHOOL, PUBLIC, GROUNDS",1312,1,41.90261255,-87.68687021
HT483687,9/6/2011 8:00,2093,FOUND SUSPECT NARCOTICS,GOVERNMENT BUILDING/PROPERTY,1654,41,41.95378797,-87.90747703
HT483367,9/6/2011 7:45,2093,FOUND SUSPECT NARCOTICS,"SCHOOL, PUBLIC, BUILDING",314,5,41.78218208,-87.58665139
HT483206,9/6/2011 4:00,2024,HEROIN(WHITE),STREET,1022,24,41.85895515,-87.70682452
HT483190,9/6/2011 2:50,2027,CRACK,POLICE FACILITY/VEH PARKING LOT,1134,24,41.87358248,-87.70540026
HT483180,9/6/2011 2:10,2027,CRACK,SIDEWALK,312,20,41.77929527,-87.61333542
HT483158,9/6/2011 1:11,2024,HEROIN(WHITE),SIDEWALK,1112,27,41.89530272,-87.72106944
HT483134,9/6/2011 1:05,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1511,29,41.90093751,-87.76667828
HT483135,9/6/2011 0:50,2027,CRACK,PARKING LOT/GARAGE(NON.RESID.),312,20,41.77557025,-87.61536412
HT483131,9/6/2011 0:47,1811,CANNABIS 30GMS OR LESS,STREET,2513,36,41.9127753,-87.79443332
HT483145,9/6/2011 0:45,2024,HEROIN(WHITE),SIDEWALK,412,8,41.73343182,-87.58698914
HT483124,9/6/2011 0:40,1811,CANNABIS 30GMS OR LESS,SIDEWALK,612,21,41.75020457,-87.66115844
HT483122,9/6/2011 0:30,1811,CANNABIS 30GMS OR LESS,SIDEWALK,512,34,41.70701044,-87.62841785
HT483144,9/6/2011 0:20,1811,CANNABIS 30GMS OR LESS,STREET,631,8,41.74774947,-87.60374613
HT483109,9/6/2011 0:04,1811,CANNABIS 30GMS OR LESS,STREET,713,16,41.79351767,-87.66442823
HT483090,9/5/2011 23:36,2027,CRACK,SIDEWALK,524,34,41.67733576,-87.63693405
HT483088,9/5/2011 23:26,2027,CRACK,STREET,1114,28,41.88712791,-87.73307945
HT483056,9/5/2011 23:25,1811,CANNABIS 30GMS OR LESS,STREET,1231,2,41.86273302,-87.65915881
HT483069,9/5/2011 23:05,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1011,24,41.8661744,-87.71629207
HT483084,9/5/2011 23:05,2017,MANU/DELIVER:CRACK,ALLEY,233,20,41.79147952,-87.62385912
HT483076,9/5/2011 23:04,2091,FORFEIT PROPERTY,STREET,714,15,41.78604438,-87.6657416
HT483043,9/5/2011 22:59,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1522,29,41.87485741,-87.76304598
HT483087,9/5/2011 22:56,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1511,29,41.90053403,-87.76666349
HT483031,9/5/2011 22:45,1811,CANNABIS 30GMS OR LESS,SIDEWALK,522,34,41.69084208,-87.62638297
HT483067,9/5/2011 22:45,1811,CANNABIS 30GMS OR LESS,ABANDONED BUILDING,524,34,41.68100081,-87.64673828
HT483023,9/5/2011 22:31,1811,CANNABIS 30GMS OR LESS,STREET,2532,37,41.90767967,-87.76547982
HT483036,9/5/2011 22:30,2023,HEROIN(BRN/TAN),PARKING LOT/GARAGE(NON.RESID.),2232,34,41.71402649,-87.64314183
HT483022,9/5/2011 22:25,1811,CANNABIS 30GMS OR LESS,STREET,1522,29,41.87856987,-87.75580482
HT483003,9/5/2011 22:20,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1223,25,41.85377876,-87.68299787
HT483018,9/5/2011 22:15,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2131,5,41.79774359,-87.60525876
HT483033,9/5/2011 22:10,2014,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,1412,35,41.93295938,-87.71497991
HT482999,9/5/2011 22:05,2027,CRACK,STREET,915,16,41.80176686,-87.67437704
HT482992,9/5/2011 21:55,1811,CANNABIS 30GMS OR LESS,SIDEWALK,421,7,41.75193617,-87.55912782
HT483016,9/5/2011 21:52,2027,CRACK,RESIDENTIAL YARD (FRONT/BACK),1032,22,41.84298339,-87.71489648
HT483025,9/5/2011 21:50,1811,CANNABIS 30GMS OR LESS,STREET,1713,33,41.96859997,-87.7041407
HT482995,9/5/2011 21:48,1811,CANNABIS 30GMS OR LESS,OTHER,1623,45,41.96800346,-87.758366
HT482959,9/5/2011 21:40,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1125,2,41.88101942,-87.68954457
HT482941,9/5/2011 21:30,1811,CANNABIS 30GMS OR LESS,SIDEWALK,914,12,41.81445619,-87.66862342
HT482962,9/5/2011 21:30,1811,CANNABIS 30GMS OR LESS,SIDEWALK,611,21,41.75009013,-87.66600799
HT482969,9/5/2011 21:25,2170,POSSESSION OF DRUG EQUIPMENT,CTA BUS STOP,1331,27,41.88394015,-87.70606269
HT482936,9/5/2011 21:05,1811,CANNABIS 30GMS OR LESS,STREET,1723,39,41.96217906,-87.72771336
HT482921,9/5/2011 21:00,1811,CANNABIS 30GMS OR LESS,CTA BUS STOP,1522,29,41.88025997,-87.75518738
HT482939,9/5/2011 20:55,1821,MANU/DEL:CANNABIS 10GM OR LESS,VEHICLE NON-COMMERCIAL,2124,4,41.80915179,-87.60183937
HT482912,9/5/2011 20:45,2022,COCAINE,STREET,833,13,41.77490878,-87.72208385
HT482889,9/5/2011 20:39,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2423,49,42.01203408,-87.66323274
HT482883,9/5/2011 20:30,1811,CANNABIS 30GMS OR LESS,ALLEY,2534,37,41.90446393,-87.73425424
HT482931,9/5/2011 20:30,2017,MANU/DELIVER:CRACK,SIDEWALK,422,7,41.75163735,-87.56489606
HT482849,9/5/2011 20:11,2027,CRACK,ALLEY,411,5,41.75701514,-87.59018677
HT482915,9/5/2011 20:01,2014,MANU/DELIVER: HEROIN (WHITE),STREET,233,3,41.79175775,-87.6302807
HT482835,9/5/2011 19:55,1811,CANNABIS 30GMS OR LESS,SIDEWALK,712,16,41.78207945,-87.65320667
HT482868,9/5/2011 19:50,2027,CRACK,STREET,1122,28,41.8798867,-87.72334643
HT482833,9/5/2011 19:30,1811,CANNABIS 30GMS OR LESS,ALLEY,531,9,41.68839825,-87.61553607
HT482836,9/5/2011 19:20,1811,CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,2312,46,41.96594809,-87.64697446
HT482880,9/5/2011 19:14,1811,CANNABIS 30GMS OR LESS,DEPARTMENT STORE,2533,37,41.9097633,-87.74331204
HT482814,9/5/2011 19:05,1811,CANNABIS 30GMS OR LESS,STREET,2131,4,41.80070407,-87.60300271
HT482774,9/5/2011 18:50,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2531,29,41.91137498,-87.77418726
HT482775,9/5/2011 18:45,1811,CANNABIS 30GMS OR LESS,SIDEWALK,832,17,41.76996331,-87.68353721
HT482752,9/5/2011 18:45,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1522,28,41.88171527,-87.75863713
HT482797,9/5/2011 18:45,1811,CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, GROUNDS",935,3,41.81626529,-87.63406268
HT482763,9/5/2011 18:00,1811,CANNABIS 30GMS OR LESS,PARK PROPERTY,2423,49,42.0152552,-87.67260464
HT482751,9/5/2011 18:00,2027,CRACK,STREET,612,21,41.7502783,-87.66109537
HT482711,9/5/2011 17:50,1811,CANNABIS 30GMS OR LESS,SIDEWALK,831,15,41.77296019,-87.70526819
HT482701,9/5/2011 17:33,2014,MANU/DELIVER: HEROIN (WHITE),RESIDENTIAL YARD (FRONT/BACK),1124,28,41.87746369,-87.70254956
HT482702,9/5/2011 17:12,2091,FORFEIT PROPERTY,STREET,725,17,41.77052694,-87.66082901
HT482722,9/5/2011 17:02,1811,CANNABIS 30GMS OR LESS,RESTAURANT,634,21,41.72202409,-87.6252061
HT482793,9/5/2011 17:00,1821,MANU/DEL:CANNABIS 10GM OR LESS,STREET,1532,28,41.88452741,-87.74924744
HT482649,9/5/2011 16:46,2024,HEROIN(WHITE),SIDEWALK,1331,2,41.88140915,-87.69644433
HT482621,9/5/2011 16:05,2024,HEROIN(WHITE),GAS STATION,1531,37,41.90225851,-87.74612514
HT482553,9/5/2011 16:04,1811,CANNABIS 30GMS OR LESS,SIDEWALK,623,17,41.74879435,-87.63318663
HT482546,9/5/2011 15:45,1811,CANNABIS 30GMS OR LESS,ALLEY,934,20,41.79746676,-87.64538653
HT482525,9/5/2011 15:40,2027,CRACK,STREET,2534,27,41.90302942,-87.72863264
HT482503,9/5/2011 15:33,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2515,37,41.92212467,-87.7592778
HT482527,9/5/2011 15:30,1811,CANNABIS 30GMS OR LESS,SIDEWALK,934,20,41.79591657,-87.64636027
HT482514,9/5/2011 15:30,2024,HEROIN(WHITE),SIDEWALK,1523,28,41.88342478,-87.7553241
HT482488,9/5/2011 15:19,1811,CANNABIS 30GMS OR LESS,SIDEWALK,612,17,41.75194033,-87.65392438
HT482505,9/5/2011 15:15,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2031,40,41.97389457,-87.69537665
HT482581,9/5/2011 15:10,2024,HEROIN(WHITE),SIDEWALK,1114,28,41.88323116,-87.72734678
HT482610,9/5/2011 14:30,2092,SOLICIT NARCOTICS ON PUBLICWAY,ALLEY,1523,28,41.88816569,-87.76499161
HT482450,9/5/2011 14:10,2027,CRACK,SIDEWALK,211,3,41.83054956,-87.6216079
HT482411,9/5/2011 13:50,2027,CRACK,SIDEWALK,1524,37,41.89416751,-87.76225719
HT482456,9/5/2011 13:45,1811,CANNABIS 30GMS OR LESS,ALLEY,1732,30,41.94470429,-87.72260399
HT482367,9/5/2011 13:30,1811,CANNABIS 30GMS OR LESS,SIDEWALK,414,8,41.75142455,-87.57583051
HT482402,9/5/2011 13:30,2024,HEROIN(WHITE),AIRPORT VENDING ESTABLISHMENT,624,8,41.74998467,-87.60136811
HT482347,9/5/2011 13:23,2024,HEROIN(WHITE),SIDEWALK,713,16,41.78258905,-87.65958469
HT482369,9/5/2011 13:20,1811,CANNABIS 30GMS OR LESS,SIDEWALK,513,9,41.69580013,-87.61209611
HT482361,9/5/2011 13:20,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1732,35,41.93939471,-87.71755675
HT482360,9/5/2011 13:10,2017,MANU/DELIVER:CRACK,SIDEWALK,1512,29,41.88891922,-87.76531547
HT482318,9/5/2011 13:05,1811,CANNABIS 30GMS OR LESS,SIDEWALK,421,7,41.75529794,-87.56239321
HT482364,9/5/2011 13:00,1811,CANNABIS 30GMS OR LESS,SIDEWALK,322,20,41.76971269,-87.62355648
HT482331,9/5/2011 12:50,2017,MANU/DELIVER:CRACK,STREET,1532,28,41.88958745,-87.75188237
HT482425,9/5/2011 12:50,1811,CANNABIS 30GMS OR LESS,RESIDENCE,1131,24,41.87167491,-87.73410524
HT482382,9/5/2011 12:35,2080,CONT SUBS:FAIL TO MAINT RECORD,PARKING LOT/GARAGE(NON.RESID.),723,16,41.77394459,-87.64478377
HT482429,9/5/2011 12:30,1812,CANNABIS MORE THAN 30GMS,SIDEWALK,223,4,41.8046363,-87.61119954
HT482341,9/5/2011 12:25,1811,CANNABIS 30GMS OR LESS,RESIDENTIAL YARD (FRONT/BACK),211,3,41.82450125,-87.61808303
HT482271,9/5/2011 12:15,1811,CANNABIS 30GMS OR LESS,STREET,934,16,41.79583872,-87.65264315
HT482261,9/5/2011 12:00,2024,HEROIN(WHITE),STREET,825,15,41.776596,-87.68738208
HT482270,9/5/2011 11:50,1811,CANNABIS 30GMS OR LESS,STREET,2531,29,41.9075618,-87.77445565
HT482231,9/5/2011 11:21,2170,POSSESSION OF DRUG EQUIPMENT,ALLEY,2033,46,41.96985228,-87.66121495
HT482312,9/5/2011 11:09,1811,CANNABIS 30GMS OR LESS,STREET,524,34,41.67063086,-87.64276741
HT482207,9/5/2011 11:02,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1422,26,41.90468804,-87.71594708
HT482210,9/5/2011 11:00,1811,CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),424,10,41.73358883,-87.54715899
HT482160,9/5/2011 10:40,1811,CANNABIS 30GMS OR LESS,SIDEWALK,832,18,41.76306315,-87.68579142
HT482192,9/5/2011 10:40,2027,CRACK,STREET,823,15,41.77929247,-87.69354746
HT482178,9/5/2011 10:05,2024,HEROIN(WHITE),VACANT LOT/LAND,1135,2,41.87365386,-87.69941098
HT482159,9/5/2011 10:00,2024,HEROIN(WHITE),SIDEWALK,1121,27,41.89525833,-87.71279835
HT482140,9/5/2011 10:00,2014,MANU/DELIVER: HEROIN (WHITE),ALLEY,224,3,41.80887117,-87.61828994
HT482130,9/5/2011 9:55,2014,MANU/DELIVER: HEROIN (WHITE),OTHER,624,8,41.75205882,-87.60171469
HT482487,9/5/2011 8:45,2024,HEROIN(WHITE),SIDEWALK,1114,28,41.88494772,-87.73546854
HT482063,9/5/2011 8:40,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1123,28,41.8854402,-87.71091395
HT482061,9/5/2011 7:12,2024,HEROIN(WHITE),RESIDENCE PORCH/HALLWAY,1113,28,41.88200465,-87.73840069
HT482078,9/5/2011 7:04,1811,CANNABIS 30GMS OR LESS,RESIDENCE,1733,33,41.95383343,-87.70414993
HT481994,9/5/2011 4:15,2027,CRACK,STREET,715,15,41.79107911,-87.6765107
HT482005,9/5/2011 3:54,2015,MANU/DELIVER: HALLUCINOGEN,SIDEWALK,1831,42,41.88784996,-87.62969082
HT481917,9/5/2011 2:11,2024,HEROIN(WHITE),STREET,2534,37,41.90333457,-87.73449623
HT481888,9/5/2011 1:20,1811,CANNABIS 30GMS OR LESS,STREET,733,17,41.76484568,-87.64911473
HT481839,9/5/2011 0:50,2024,HEROIN(WHITE),SIDEWALK,1121,27,41.89143882,-87.71390409
HT481853,9/5/2011 0:47,2027,CRACK,RESIDENCE-GARAGE,715,15,41.79291657,-87.67534047
HT481819,9/5/2011 0:47,2027,CRACK,ALLEY,532,9,41.67608121,-87.62031076
HT481847,9/5/2011 0:40,2027,CRACK,ALLEY,611,17,41.75656919,-87.6673849
HT481805,9/5/2011 0:29,1811,CANNABIS 30GMS OR LESS,SIDEWALK,624,6,41.75107711,-87.60658892
HT481867,9/5/2011 0:25,1822,MANU/DEL:CANNABIS OVER 10 GMS,SIDEWALK,334,7,41.75911366,-87.56502311
HT481801,9/5/2011 0:20,1811,CANNABIS 30GMS OR LESS,CHA PARKING LOT/GROUNDS,434,10,41.70082137,-87.56413915
HT481822,9/5/2011 0:20,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1112,27,41.89384447,-87.7234487
HT481813,9/4/2011 23:47,2027,CRACK,STREET,1723,39,41.95720353,-87.72662075
HT481771,9/4/2011 23:03,1822,MANU/DEL:CANNABIS OVER 10 GMS,ALLEY,2511,29,41.93223054,-87.78315244
HT481700,9/4/2011 22:57,1811,CANNABIS 30GMS OR LESS,SIDEWALK,413,8,41.72594199,-87.59582011
HT481706,9/4/2011 22:40,2024,HEROIN(WHITE),RESTAURANT,1122,28,41.88065418,-87.72265979
HT481723,9/4/2011 22:30,1811,CANNABIS 30GMS OR LESS,PARK PROPERTY,1333,27,41.8841742,-87.66674449
HT481670,9/4/2011 22:28,1811,CANNABIS 30GMS OR LESS,STREET,825,15,41.78362493,-87.6884995
HT481695,9/4/2011 22:28,1811,CANNABIS 30GMS OR LESS,STREET,2211,19,41.71123681,-87.6819132
HT481654,9/4/2011 22:12,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2112,2,41.83145294,-87.61948071
HT481661,9/4/2011 22:10,1811,CANNABIS 30GMS OR LESS,SIDEWALK,513,34,41.6935425,-87.62816948
HT481673,9/4/2011 21:55,1812,CANNABIS MORE THAN 30GMS,SIDEWALK,2432,49,42.00520813,-87.67393013
HT481605,9/4/2011 21:08,1811,CANNABIS 30GMS OR LESS,SIDEWALK,421,7,41.75286654,-87.55832137
HT481564,9/4/2011 20:50,2027,CRACK,VEHICLE NON-COMMERCIAL,2413,40,41.99344721,-87.67548252
HT481541,9/4/2011 20:46,2027,CRACK,SIDEWALK,713,16,41.79083688,-87.65979536
HT481611,9/4/2011 20:45,1811,CANNABIS 30GMS OR LESS,SIDEWALK,421,7,41.75761543,-87.55647567
HT481524,9/4/2011 20:40,2022,COCAINE,STREET,313,20,41.78286412,-87.60613109
HT481521,9/4/2011 20:15,2022,COCAINE,STREET,912,14,41.82181109,-87.7037381
HT481515,9/4/2011 20:10,1811,CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),934,3,41.79492889,-87.64502862
HT481509,9/4/2011 20:04,1811,CANNABIS 30GMS OR LESS,COLLEGE/UNIVERSITY RESIDENCE HALL,1811,32,41.92478176,-87.65708388
HT481522,9/4/2011 19:45,1811,CANNABIS 30GMS OR LESS,STREET,2311,46,41.96545688,-87.6608861
HT481494,9/4/2011 19:40,1811,CANNABIS 30GMS OR LESS,STREET,2534,37,41.90613406,-87.72932704
HT481610,9/4/2011 19:40,1811,CANNABIS 30GMS OR LESS,GAS STATION,914,20,41.80862044,-87.6745709
HT481490,9/4/2011 19:30,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1115,28,41.87859864,-87.72574549
HT481462,9/4/2011 19:15,2027,CRACK,STREET,131,2,41.87641032,-87.64116242
HT481421,9/4/2011 18:53,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2031,40,41.96955064,-87.69490886
HT481400,9/4/2011 18:30,1811,CANNABIS 30GMS OR LESS,SIDEWALK,711,3,41.79300702,-87.63397817
HT481409,9/4/2011 18:22,1811,CANNABIS 30GMS OR LESS,GAS STATION,634,6,41.72302158,-87.62363832
HT481389,9/4/2011 18:21,2160,SALE/DEL DRUG PARAPHERNALIA,SIDEWALK,2424,49,42.00909508,-87.67413651
HT481366,9/4/2011 17:58,1811,CANNABIS 30GMS OR LESS,SIDEWALK,531,9,41.69247492,-87.6228172
HT481374,9/4/2011 17:55,1811,CANNABIS 30GMS OR LESS,ALLEY,1311,26,41.90283728,-87.69417065
HT481353,9/4/2011 17:50,1811,CANNABIS 30GMS OR LESS,ALLEY,612,17,41.75401315,-87.65453655
HT481308,9/4/2011 17:30,2170,POSSESSION OF DRUG EQUIPMENT,SIDEWALK,1311,26,41.89938014,-87.69823462
HT481338,9/4/2011 17:30,1811,CANNABIS 30GMS OR LESS,STREET,1012,24,41.85816635,-87.72601602
HT481331,9/4/2011 17:15,1811,CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, GROUNDS",423,7,41.74246197,-87.56595084
HT481289,9/4/2011 17:11,1811,CANNABIS 30GMS OR LESS,STREET,631,8,41.74441321,-87.59999497
HT481272,9/4/2011 16:50,2093,FOUND SUSPECT NARCOTICS,ABANDONED BUILDING,2234,34,41.69530845,-87.65204917
HT481200,9/4/2011 16:14,1811,CANNABIS 30GMS OR LESS,ABANDONED BUILDING,712,16,41.7875976,-87.6475638
